Product,Date,Invoice_No,Quantity,Weight,Amount,CGST,SGST,Party_Name,Location
BASMATHI RICE  30KG,06-05-25,B,635,10.00,27000.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR
17-05-25,B,801,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,20.00
GRAMDALL 30KG,12-05-25,B,737,1.00,2100.00,0.00,0.00,SRI GANAPATHI GENERAL STORES,REPALLE
16-05-25,B,789,1.00,0.00,0.00,0.00,SRI VENKATA NAGAMANI GENERAL MERCHANTS,REPALLE,2.00
GRAMDALL-50KG,01-05-25,B,557,20.00,71500.00,0.00,0.00,SRI LAKSHMI TULASI TRADERS,NEELAPALI
01-05-25,B,558,10.00,0.00,0.00,0.00,LEELA CHANDRA RICE&GENERAL STORES,VIJAYAWADA,TOTALS
01-05-25,B,559,10.00,0.00,0.00,0.00,PUVVADA NAGESWARA RAO,TENALI,TOTALS
02-05-25,B,562,18.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
02-05-25,B,563,15.00,0.00,0.00,0.00,SAMI BALAJI AND COMPANY,TENALI,TOTALS
02-05-25,B,564,15.00,0.00,0.00,0.00,SRI VENKATESWARA TRADERS...,TENALI,TOTALS
02-05-25,B,565,10.00,0.00,0.00,0.00,SRI SAI KRISHNA ENTERPRISES,TENALI,TOTALS
02-05-25,B,566,18.00,0.00,0.00,0.00,SRINIVAS OILS AND PROVISIONS,TENALI,TOTALS
02-05-25,B,571,20.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
02-05-25,B,574,6.00,0.00,0.00,0.00,B KIRAN KUMAR GARU,BAPATLA,TOTALS
02-05-25,B,575,6.00,0.00,0.00,0.00,SRINIVAS GARU,BAPATLA,TOTALS
02-05-25,B,580,10.00,0.00,0.00,0.00,NANDINI SWEETS,REPALLE,TOTALS
02-05-25,B,581,20.00,0.00,0.00,0.00,SRIHAN TRADERS,AMALAPURAM,TOTALS
02-05-25,B,582,10.00,0.00,0.00,0.00,KALYANI TADERS,BHIMAVARAM,TOTALS
02-05-25,B,585,4.00,0.00,0.00,0.00,PADMAVATHI SWEETS,REPALLE,TOTALS
02-05-25,B,587,10.00,0.00,0.00,0.00,NAGA VENKATA SAI DURGA GENERALS TANUKU,TANUKU,TOTALS
03-05-25,B,589,20.00,0.00,0.00,0.00,VENKATA SRINIVASA RICE COMPANY,VIJAYAWADA,TOTALS
03-05-25,B,590,8.00,0.00,0.00,0.00,MAJETY POORNA,GUNTUR,TOTALS
03-05-25,B,591,7.00,0.00,0.00,0.00,MAJETY RAMESH,GUNTUR,TOTALS
03-05-25,B,592,20.00,0.00,0.00,0.00,SRI MADHURI FOODS,GUNTUR,TOTALS
03-05-25,B,593,20.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
03-05-25,B,598,40.00,0.00,0.00,0.00,SRI LALITHA OIL&OIL GENERAL STORES,ATHILI,TOTALS
03-05-25,B,601,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
03-05-25,B,606,10.00,0.00,0.00,0.00,SRI VENKATARAMANA TRADERS,NANDIVELUGU,TOTALS
03-05-25,B,611,10.00,0.00,0.00,0.00,POORNA TRADERS,VISSANNAPETA,TOTALS
03-05-25,B,613,8.00,0.00,0.00,0.00,SRINIVASA GURU,BAPATLA,TOTALS
03-05-25,B,614,10.00,0.00,0.00,0.00,SRI MANIKANTA DALL TRADERS,VIJAYAWADA,TOTALS
05-05-25,B,620,10.00,0.00,0.00,0.00,SRI VENKATESWAR GENRAL STORES,NUZIVEDU,TOTALS
05-05-25,B,621,10.00,0.00,0.00,0.00,"SRI BALAJI TRADERS,",TENALI,TOTALS
05-05-25,B,619,10.00,0.00,0.00,0.00,KANAKA MARUTHI TRADERS,TENALI,TOTALS
05-05-25,B,627,35.00,0.00,0.00,0.00,GANESH  TRADERS,GOLLAPALLI,TOTALS
05-05-25,B,629,10.00,0.00,0.00,0.00,B.GOVINDA GURU,BAPATLA,TOTALS
05-05-25,B,630,6.00,0.00,0.00,0.00,B NARESH GARU,BAPATLA,TOTALS
05-05-25,B,616,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
05-05-25,B,625,10.00,0.00,0.00,0.00,TANGUTURI HANUMANTH RAO COMPANY,GUDIVADA,TOTALS
06-05-25,B,632,12.00,0.00,0.00,0.00,SRI SAI HANUMAN TRADERS,MYLAVARAM,TOTALS
06-05-25,B,633,10.00,0.00,0.00,0.00,LAKSHMI SRINIVASA TRADERS;,VIJAYAWADA,TOTALS
06-05-25,B,634,20.00,0.00,0.00,0.00,BATHULA  HANUMANTHA RAO,KALIDINDI,TOTALS
06-05-25,B,635,20.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
06-05-25,B,636,15.00,0.00,0.00,0.00,NAGARAJA KIRANA&GENERAL STORES,KAIKALURU,TOTALS
07-05-25,B,637,30.00,0.00,0.00,0.00,ASHOKA TRADERS,VIJAYAWADA,TOTALS
07-05-25,B,638,10.00,0.00,0.00,0.00,SRI VENKATESWARA TRADERS...,TENALI,TOTALS
07-05-25,B,640,10.00,0.00,0.00,0.00,SRI PADMAVATHI FOOD PACKAGES,ONGOLE,TOTALS
08-05-25,B,648,15.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
08-05-25,B,675,10.00,0.00,0.00,0.00,SRI MANIKANTA DALL TRADERS,VIJAYAWADA,TOTALS
08-05-25,B,651,18.00,0.00,0.00,0.00,RADHA KRISHNA KIRANA AND GENERAL STORES,KANKIPADU,TOTALS
08-05-25,B,652,10.00,0.00,0.00,0.00,MATURI VAYU KUMAR TRADERS,NUZIVEDU,TOTALS
08-05-25,B,656,10.00,0.00,0.00,0.00,B VENKATESWARLU,BAPATLA,TOTALS
08-05-25,B,657,5.00,0.00,0.00,0.00,B KIRAN KUMAR GARU,BAPATLA,TOTALS
08-05-25,B,658,10.00,0.00,0.00,0.00,MANASA GENERAL STORES,REPALLE,TOTALS
